#FileName#ViewAccessor#Excel#Reason
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#DEParameterVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug No.20601221
fusionapps/hcm/components/hcmCoreSetup/enterpriseSetup/configurations/model/src/oracle/apps/hcm/enterpriseSetup/configurations/enterpriseStructures/model/view/LegalEntityVO.xml#FndTerritoriesVO1#hcm/components/hcmCoreSetup/enterpriseSetup/configurations/ui/public_html/oracle/apps/hcm/enterpriseSetup/configurations/enterpriseStructures/di/excel/LegalEntities.xlsx#Bug No.20358784
fusionapps/hcm/components/hcmCoreSetup/enterpriseSetup/configurations/model/src/oracle/apps/hcm/enterpriseSetup/configurations/enterpriseStructures/model/view/LegalEntityVO.xml#LookupPVO1#hcm/components/hcmCoreSetup/enterpriseSetup/configurations/ui/public_html/oracle/apps/hcm/enterpriseSetup/configurations/enterpriseStructures/di/excel/LegalEntities.xlsx#Bug NO.20358784
fusionapps/hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/uiModel/src/oracle/apps/hcm/absenceManagement/calendarEvents/uiModel/view/CalendarEventVO.xml#GeoFndTreeVA#hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/ui/public_html/oracle/apps/hcm/absenceManagement/calendarEvents/di/excel/ManageCalendarEvent.xlsx#Bug NO.20041668
fusionapps/hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/uiModel/src/oracle/apps/hcm/absenceManagement/calendarEvents/uiModel/view/CalendarEventVO.xml#OrgFndTreeVA#hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/ui/public_html/oracle/apps/hcm/absenceManagement/calendarEvents/di/excel/ManageCalendarEvent.xlsx#Bug NO.20041668
fusionapps/hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/uiModel/src/oracle/apps/hcm/absenceManagement/calendarEvents/uiModel/view/CalendarEventVO.xml#CalrEventCoverageTypeVA#hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/ui/public_html/oracle/apps/hcm/absenceManagement/calendarEvents/di/excel/ManageCalendarEvent.xlsx#Bug NO.20041668
fusionapps/hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/uiModel/src/oracle/apps/hcm/absenceManagement/calendarEvents/uiModel/view/CalendarEventVO.xml#CalendarEventCategoryVA#hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/ui/public_html/oracle/apps/hcm/absenceManagement/calendarEvents/di/excel/ManageCalendarEvent.xlsx#Bug NO.20041668
fusionapps/hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/uiModel/src/oracle/apps/hcm/absenceManagement/calendarEvents/uiModel/view/CalendarEventVO.xml#FndTreeVA#hcm/components/hcmCoreSetup/absenceManagement/calendarEvents/ui/public_html/oracle/apps/hcm/absenceManagement/calendarEvents/di/excel/ManageCalendarEvent.xlsx#Bug NO.20041668
fusionapps/hcm/components/hcmCoreSetup/organizations/fun/businessUnits/model/src/oracle/apps/financials/commonModules/businessUnits/diModel/view/DesktopBuServiceProvidersVO.xml#DesktopBuServiceClientVA#hcm/components/hcmCoreSetup/organizations/fun/businessUnits/di/public_html/oracle/apps/financials/commonModules/businessUnits/di/excel/DesktopServiceProviders.xlsx#Bug NO.20088461
fusionapps/hcm/components/hcmCoreSetup/organizations/fun/businessUnits/model/src/oracle/apps/financials/commonModules/businessUnits/diModel/view/DesktopBuServiceProvidersVO.xml#DesktopServiceProviderRelationshipVO1#hcm/components/hcmCoreSetup/organizations/fun/businessUnits/di/public_html/oracle/apps/financials/commonModules/businessUnits/di/excel/DesktopServiceProviders.xlsx#Bug NO.20088461
fusionapps/hcm/components/hcmCoreSetup/organizations/fun/businessUnits/model/src/oracle/apps/financials/commonModules/businessUnits/diModel/view/DesktopBuServiceProvidersVO.xml#ActiveFlagVA#hcm/components/hcmCoreSetup/organizations/fun/businessUnits/di/public_html/oracle/apps/financials/commonModules/businessUnits/di/excel/DesktopServiceProviders.xlsx#Bug NO.20088461
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#RecordTypes#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#ProcessTypes#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#BalanceGroupUsageVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#GeneratedRecordFormulaVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#BalGrpUsageVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#UserModuleNameVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#FFRecordsVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#getDefIdFromExtractBlockVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#DEParameterVA# hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
